id,university_id,name,field,level,duration_years,language,mode,intake_months,tuition,currency,url,metadata
39634d55-0664-55d7-a2ef-b19a1b7b25b3,75b1eecb-3b5d-5728-89ab-823c71efc1da,Anthropology,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""L602"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
7b436c43-fabe-5df0-befb-a5fc812cdd8e,75b1eecb-3b5d-5728-89ab-823c71efc1da,Applied Psychosocial and Psychotherapy Studies,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""BL93"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
8b90e369-18b1-5c26-969e-c4c39d08fdf2,75b1eecb-3b5d-5728-89ab-823c71efc1da,Arts Management,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""N2V3"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
39634d55-0664-55d7-a2ef-b19a1b7b25b3,75b1eecb-3b5d-5728-89ab-823c71efc1da,Anthropology,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""L602"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
9be0f99f-2c3d-5b8e-9afc-a1f03bef92f9,75b1eecb-3b5d-5728-89ab-823c71efc1da,Anthropology with Foundation Year (Integrated Degree),,Bachelor degrees (with or without Honours),4,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""L601"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
f35ad09b-9e8b-52a8-8412-fd27d28df221,75b1eecb-3b5d-5728-89ab-823c71efc1da,"Anthropology, Media and Digital Practice",,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""L6P3"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
7b436c43-fabe-5df0-befb-a5fc812cdd8e,75b1eecb-3b5d-5728-89ab-823c71efc1da,Applied Psychosocial and Psychotherapy Studies,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""BL93"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
8b90e369-18b1-5c26-969e-c4c39d08fdf2,75b1eecb-3b5d-5728-89ab-823c71efc1da,Arts Management,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""N2V3"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
e84d5661-197e-5252-ac3f-b101048d0b88,75b1eecb-3b5d-5728-89ab-823c71efc1da,Business Computing (Entrepreneurship),,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""IN11"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
d17ebd25-87dd-5bbc-a7df-eb15d95f148a,75b1eecb-3b5d-5728-89ab-823c71efc1da,Business Computing (Entrepreneurship) with Foundation Year (Integrated Degree),,Bachelor degrees (with or without Honours),,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""7UG2"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
5c5d470f-a894-527c-9c4b-c74586b2ec55,75b1eecb-3b5d-5728-89ab-823c71efc1da,Business Management,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""N200"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
7bec2276-45d6-59ad-97d2-5e00eb8f7df9,75b1eecb-3b5d-5728-89ab-823c71efc1da,Computer Science,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""G400"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
2ee0fc2e-03cd-5f67-a3db-cc6907703349,75b1eecb-3b5d-5728-89ab-823c71efc1da,Computer Science (Integrated Degree),,Bachelor degrees (with or without Honours),4,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""G401"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
551b9d2e-ad33-5941-903b-0a9299b9cd1f,75b1eecb-3b5d-5728-89ab-823c71efc1da,Creative Computing,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""G452"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
b939bf76-d867-5784-8350-968f8c3bd091,75b1eecb-3b5d-5728-89ab-823c71efc1da,Creative Computing with Foundation Year (Integrated Degree),,Bachelor degrees (with or without Honours),4,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""G402"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
4dac4727-491b-50bc-9636-fd2f7a4388c4,75b1eecb-3b5d-5728-89ab-823c71efc1da,Criminology and Criminal Justice,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""L4L3"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
80210896-6ef1-5be1-868b-48abb5b6ef01,75b1eecb-3b5d-5728-89ab-823c71efc1da,Curating,,Masters degrees,2,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""start_date"":""21/09/2026"",""campus"":""Goldsmiths, University of London""}"
b7064e0d-5fc9-52c1-9733-b7482b00ab0c,75b1eecb-3b5d-5728-89ab-823c71efc1da,Design,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""W200"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
5936e72e-e6b1-5ab6-b7c0-0a656bdebb42,75b1eecb-3b5d-5728-89ab-823c71efc1da,Digital Arts Computing,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""I150"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
55f2e669-780f-56c2-a567-4de7ffb4e973,75b1eecb-3b5d-5728-89ab-823c71efc1da,Diverse Dance Styles,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""W540"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
444ad8dc-4e63-5b00-999e-f192b6abec93,75b1eecb-3b5d-5728-89ab-823c71efc1da,Drama and Theatre Arts with Acting,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""W410"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
45892004-1470-5392-88d6-a5270cf0189d,75b1eecb-3b5d-5728-89ab-823c71efc1da,Drama: Musical Theatre,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""W312"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
ece18306-b644-5a24-9b0c-e71bcbb04fb4,75b1eecb-3b5d-5728-89ab-823c71efc1da,Economics,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""L1M9"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
59f5f8d3-a07e-5253-b753-6088f26b00c3,75b1eecb-3b5d-5728-89ab-823c71efc1da,Economics with Data Science,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""L1M2"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
1dae5fd2-a8ff-5342-a5a0-91109f942491,75b1eecb-3b5d-5728-89ab-823c71efc1da,Economics with Law,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""L1M1"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
f06ed0b3-fe4c-5892-bfcc-212f382f0cee,75b1eecb-3b5d-5728-89ab-823c71efc1da,Economics with Marketing,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""L1N5"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
a7fe4a35-e09b-58c4-b3e8-6b781734d287,75b1eecb-3b5d-5728-89ab-823c71efc1da,Education,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""X390"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
9d97bb56-4636-5c73-9160-e55a040c94ed,75b1eecb-3b5d-5728-89ab-823c71efc1da,English,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""Q300"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
02258108-fa7e-507c-8723-06c562e890e4,75b1eecb-3b5d-5728-89ab-823c71efc1da,English (with Integrated Foundation Year),,Bachelor degrees (with or without Honours),4,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""Q301"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
fd569b7f-6fac-5088-a3cb-5bdcb273fda6,75b1eecb-3b5d-5728-89ab-823c71efc1da,English with Creative Writing,,Bachelor degrees (with or without Honours),3,English,On-campus,"[""September""]",,,,"{""source"":""ucas"",""ucas_code"":""Q3W8"",""start_date"":""21/09/2026"",""campus"":""Main Site""}"
